# fonte: Estacao meteorologica Recife/Curado - exportacao da API
# consultado_em: 2025-07-02T08:20:00
# parametros: inicio=2025-01-01; fim=2025-06-30; estacao=A301
# unidades: temp_max=C; temp_min=C; chuva_mm=mm; umidade_pct=%
# atencao: dias sem leitura nao sao retornados pela API
data;temp_max;temp_min;chuva_mm;umidade_pct
2025-01-01;30,8;21,9;0,0;66
2025-01-02;31,2;25,4;0,0;82
2025-01-03;30,3;24,2;0,0;86
2025-01-04;28,9;21,7;23,1;79
2025-01-05;32,2;28,2;0,0;68
2025-01-06;29,7;24,2;0,0;75
2025-01-07;32,4;24,6;8,9;76
2025-01-08;32,4;25,7;0,0;77
2025-01-09;32,1;25,0;0,0;65
2025-01-10;29,1;23,2;10,7;78
2025-01-11;32,0;25,8;3,0;78
2025-01-12;32,2;24,3;0,0;75
2025-01-13;31,5;26,1;4,2;77
2025-01-14;35,4;29,7;0,0;83
2025-01-15;31,3;24,7;0,0;78
2025-01-16;31,1;25,3;0,0;73
2025-01-17;31,3;24,1;0,0;84
2025-01-18;31,1;23,6;0,0;75
2025-01-19;31,0;24,7;0,0;83
2025-01-20;30,2;24,9;0,0;73
2025-01-21;32,2;28,1;0,0;83
2025-01-22;32,5;27,6;0,0;74
2025-01-23;33,6;27,9;11,8;73
2025-01-24;29,7;23,8;0,0;66
2025-01-25;30,7;22,9;0,0;77
2025-01-26;30,4;23,4;0,0;77
2025-01-27;29,6;23,4;26,9;85
2025-01-28;30,2;24,1;0,0;74
2025-01-29;31,4;25,9;0,0;66
2025-01-30;31,2;24,7;0,0;77
2025-01-31;31,4;24,8;0,0;81
2025-02-01;30,5;24,1;0,0;83
2025-02-02;29,3;22,6;0,0;76
2025-02-03;30,9;24,7;0,0;73
2025-02-04;32,3;26,0;0,0;67
2025-02-05;30,9;24,8;0,0;73
2025-02-06;32,3;24,6;0,0;74
2025-02-07;30,9;23,6;0,0;83
2025-02-08;32,6;27,8;0,0;75
2025-02-09;30,0;25,9;2,0;78
2025-02-10;30,4;22,2;0,0;78
2025-02-11;31,7;24,9;0,0;82
2025-02-12;31,4;25,3;0,0;75
2025-02-13;32,1;25,2;0,0;66
2025-02-14;31,0;24,0;0,0;77
2025-02-15;30,9;23,4;9,2;74
2025-02-16;32,0;25,8;5,4;76
2025-02-17;27,9;21,5;2,9;73
2025-02-18;30,5;24,3;0,0;75
2025-02-19;32,2;25,1;0,0;68
2025-02-20;32,9;26,5;0,0;70
2025-02-21;32,7;27,9;0,0;63
2025-02-22;31,8;25,6;0,0;78
2025-02-23;31,7;25,5;0,0;77
2025-02-24;31,8;26,3;0,0;76
2025-02-25;30,7;23,3;0,0;75
2025-02-26;30,8;23,9;0,0;71
2025-02-27;31,2;24,6;0,0;88
2025-02-28;30,6;25,1;0,0;73
2025-03-01;31,9;26,5;0,0;76
2025-03-02;30,4;22,8;0,0;83
2025-03-03;30,1;23,7;13,4;79
2025-03-04;31,3;27,5;9,2;84
2025-03-05;30,8;23,5;3,0;84
2025-03-06;30,2;24,4;9,5;66
2025-03-07;28,8;22,6;15,0;70
2025-03-08;32,1;24,8;0,0;70
2025-03-09;30,0;24,3;0,0;78
2025-03-10;29,7;24,0;0,0;68
2025-03-11;30,7;24,1;3,2;80
2025-03-12;31,7;27,1;0,0;73
2025-03-13;29,1;23,6;13,8;90
2025-03-14;31,3;25,2;11,6;80
2025-03-15;30,5;23,6;11,9;73
2025-03-16;31,3;25,9;5,8;69
2025-03-17;31,3;25,8;0,0;77
2025-03-18;30,4;24,1;0,0;83
2025-03-19;31,6;25,3;0,0;73
2025-03-20;28,2;21,5;43,9;91
2025-03-21;32,2;28,2;0,0;82
2025-03-22;29,4;23,6;11,6;83
2025-03-23;30,0;24,3;1,4;78
2025-03-24;30,0;22,5;16,2;77
2025-03-25;32,4;25,9;0,0;75
2025-03-26;30,9;25,3;0,0;78
2025-03-27;31,3;26,6;0,0;67
2025-03-28;32,3;26,1;18,6;82
2025-03-29;31,6;26,8;0,0;72
2025-03-30;31,4;23,9;1,1;82
2025-03-31;31,6;25,6;0,0;81
2025-04-01;30,6;22,6;4,7;82
2025-04-02;28,5;22,2;16,0;80
2025-04-03;28,2;20,3;20,4;83
2025-04-04;30,1;22,0;19,5;78
2025-04-05;32,5;26,7;0,0;65
2025-04-06;29,1;20,9;0,0;84
2025-04-07;28,0;21,4;0,0;70
2025-04-08;31,3;25,7;0,0;80
2025-04-09;29,2;22,7;5,5;81
2025-04-10;29,6;23,3;19,9;79
2025-04-13;29,2;23,2;0,0;74
2025-04-14;31,1;24,9;0,0;81
2025-04-15;29,8;26,3;14,5;79
2025-04-16;29,9;23,6;0,0;83
2025-04-17;30,7;25,1;19,1;83
2025-04-18;31,6;26,4;0,0;83
2025-04-19;28,8;21,8;25,2;82
2025-04-20;27,6;22,1;0,0;71
2025-04-21;28,5;23,0;6,8;79
2025-04-22;28,1;22,9;7,7;82
2025-04-23;27,8;22,2;0,0;67
