id_resposta;data_resposta;codigo_loja;loja;turno;canal_atendimento;genero;faixa_etaria;idade_declarada;frequencia_visita;itens_consumidos;valor_consumo;tempo_espera_min;tempo_permanencia_min;temperatura_bebida_C;temperatura_ambiente_C;nota_atendimento;nota_produto;nota_ambiente;nota_preco;nps;recomendaria;indice_satisfacao
PQ-2025-0001;25/01/2025;4;Recife Antigo;Tarde;App;Feminino;18 a 24;22;Primeira vez;3;18,81;10,0;62;61,0;22,9;4;5;4;4;6;Sim;74,166667
PQ-2025-0002;18/04/2025;4;Recife Antigo;Manhã;Balcão;Outro;45 a 59;45;Diária;3;20,94;10,0;61;69,0;21,7;3;5;5;4;5;Não;70,833333
PQ-2025-0003;10/02/2025;2;Casa Forte;Tarde;Balcão;Feminino;18 a 24;20;Diária;3;33,86;6,3;23;63,9;23,6;5;4;4;5;7;Sim;81,666667
PQ-2025-0004;12/04/2025;1;Boa Viagem;Tarde;App;Feminino;25 a 34;30;Primeira vez;6;38,32;24,3;44;60,2;24,5;3;5;4;3;9;Sim;75,833333
PQ-2025-0005;14/02/2025;1;Boa Viagem;Tarde;Balcão;Masculino;35 a 44;44;Mensal;2;6,53;5,7;33;63,2;24,6;4;5;4;5;9;Sim;88,333333
PQ-2025-0006;26/02/2025;2;Casa Forte;Tarde;Balcão;Masculino;25 a 34;26;Quinzenal;2;19,43;9,8;47;75,0;25,1;4;5;5;3;7;Sim;77,500000
PQ-2025-0007;22/01/2025;1;Boa Viagem;Manhã;Balcão;Prefiro não informar;45 a 59;45;Mensal;3;32,67;18,4;13;68,9;22,1;1;5;3;4;5;Não;54,166667
PQ-2025-0008;08/04/2025;3;Espinheiro;Manhã;Balcão;Feminino;45 a 59;45;Semanal;3;20,30;5,0;17;62,0;23,9;4;3;4;5;7;Sim;73,333333
PQ-2025-0009;23/06/2025;3;Espinheiro;Tarde;Balcão;Masculino;18 a 24;20;Mensal;3;18,09;5,0;42;62,0;22,0;4;5;5;5;8;Sim;89,166667
PQ-2025-0010;20/02/2025;4;Recife Antigo;Manhã;Balcão;Masculino;35 a 44;40;Mensal;1;26,24;30,0;42;66,0;23,5;2;3;5;3;4;Não;50,833333
